ID_PRODUCTO;ID_COMPONENTE;STOCK_CANTIDAD
ABT_50_45-65;BRI0033;1
ABT_50_52-77;BRI0038;1
ABT_65_63-90;BRI0042;1
ABT_65_63-93;BRI0043;1
ABT_80_84-106;BRI0046;1
ABT_100_94-115;BRI0049;1
ABT_100_105-133;BRI0001;1
ABT_100_120-146;BRI0003;1
ABT_125_130-160;BRI0004;1
ABT_150_155-187;BRI0005;1
ABT_175_184-210;BRI0007;1
ABT_200_198-226;BRI0008;1
ABT_200_218-235;BRI0009;1
ABT_225_222-252;BRI0010;1
ABT_250_240-270;BRI0012;1
ABT_250_248-282;BRI0013;1
ABT_250_262-292;BRI0014;1
ABT_250_270-310;BRI0015;1
ABT_300_288-318;BRI0016;1
ABT_300_305-326;BRI0017;1
ABT_300_310-338;BRI0018;1
ABT_350_324-350;BRI0019;1
ABT_350_325-360;BRI0020;1
ABT_350_330-360;BRI0021;1
ABT_350_350-386;BRI0022;1
ABT_350_350-392;BRI0023;1
ABT_350_360-392;BRI0025;1
ABT_400_389-410;BRI0026;1
ABT_400_399-430;BRI0027;1
ABT_400_408-435;BRI0028;1
ABT_450_425-460;BRI0029;1
ABT_450_435-470;BRI0031;1
ABT_500_465-500;BRI0034;1
ABT_500_498-538;BRI0035;1
ABT_500_505-540;BRI0036;1
ABT_500_599-627;BRI0039;1
ABT_500_610-638;BRI0040;1
ABT_500_620-650;BRI0041;1
CONEC_AT_40_45-63;BRI0032;2
CONEC_AT_40_45-65;BRI0033;2
CONEC_AT_50_52-75;BRI0037;2
CONEC_AT_50_52-77;BRI0038;2
CONEC_AT_65_63-90;BRI0042;2
CONEC_AT_65_63-93;BRI0043;2
CONEC_AT_80_75-106;BRI0044;2
CONEC_AT_80_84-106;BRI0046;2
CONEC_AT_80_85-116;BRI0047;2
CONEC_AT_100_94-115;BRI0049;2
CONEC_AT_100_95-131;BRI0050;2
CONEC_AT_100_105-133;BRI0001;2
CONEC_AT_100_120-136;BRI0002;2
CONEC_AT_100_120-146;BRI0003;2
CONEC_AT_125_130-160;BRI0004;2
CONEC_AT_150_155-187;BRI0005;2
CONEC_AT_175_184-210;BRI0007;2
CONEC_AT_200_198-226;BRI0008;2
CONEC_AT_200_218-235;BRI0009;2
CONEC_AT_225_222-252;BRI0010;2
CONEC_AT_250_240-270;BRI0012;2
CONEC_AT_250_248-282;BRI0013;2
CONEC_AT_250_262-292;BRI0014;2
CONEC_AT_300_270-310;BRI0015;2
CONEC_AT_300_288-318;BRI0016;2
CONEC_AT_300_305-326;BRI0017;2
CONEC_AT_300_310-338;BRI0018;2
CONEC_AT_350_324-350;BRI0019;2
CONEC_AT_350_325-360;BRI0020;2
CONEC_AT_350_330-360;BRI0021;2
CONEC_AT_350_350-386;BRI0022;2
CONEC_AT_350_350-392;BRI0023;2
CONEC_AT_350_360-392;BRI0025;2
CONEC_AT_400_389-410;BRI0026;2
CONEC_AT_400_399-430;BRI0027;2
CONEC_AT_450_408-435;BRI0028;2
CONEC_AT_450_425-460;BRI0029;2
CONEC_AT_450_435-470;BRI0031;2
CONEC_AT_500_465-500;BRI0034;2
CONEC_AT_500_498-538;BRI0035;2
CONEC_AT_600_505-540;BRI0036;2
CONEC_AT_600_599-627;BRI0039;2
CONEC_AT_600_610-638;BRI0040;2
CONEC_AT_600_620-650;BRI0041;2
