ID_PRODUCTO;ID_COMPONENTE_A;CANTIDAD_COMPONENTE_A;ID_COMPONENTE_B;LONGITUD_COMPONENTE_B
ABT_200_198-226;CUE0009;0,5;CHA0002;214,25
ABT_200_218-235;CUE0010;0,5;CHA0002;218,75
ABT_225_222-252;CUE0011;0,5;CHA0002;232,5
ABT_250_240-270;CUE0012;0,5;CHA0002;245
ABT_250_248-282;CUE0013;0,5;CHA0002;257,5
ABT_250_262-292;CUE0014;0,5;CHA0002;262,5
ABT_250_270-310;CUE0015;0,5;CHA0002;281,25
ABT_300_288-318;CUE0016;0,5;CHA0002;285
ABT_300_305-326;CUE0017;0,5;CHA0002;290
ABT_300_310-338;CUE0018;0,5;CHA0002;302,5
ABT_350_324-350;CUE0019;0,5;CHA0002;312,5
ABT_350_330-360;CUE0020;0,5;CHA0003;315
ABT_350_350-386;CUE0021;0,5;CHA0003;340
ABT_350_360-392;CUE0022;0,5;CHA0003;345
ABT_400_389-410;CUE0023;0,5;CHA0003;356,25
ABT_400_399-430;CUE0024;0,5;CHA0003;372,5
ABT_400_408-435;CUE0025;0,5;CHA0003;378,75
ABT_450_425-460;CUE0026;0,5;CHA0003;397,5
ABT_450_435-470;CUE0027;0,5;CHA0003;400
ABT_500_465-500;CUE0028;0,5;CHA0003;426,25
ABT_500_498-538;CUE0029;0,5;CHA0003;480
ABT_500_505-540;CUE0030;0,5;CHA0003;482,5
ABT_500_599-627;CUE0031;0,5;CHA0003;537,5
ABT_500_610-638;CUE0032;0,5;CHA0003;555
ABT_500_620-650;CUE0033;0,5;CHA0003;587,5
CONEC_AT_200_198-226;CUE0009;1;CHA0001;857
CONEC_AT_200_218-235;CUE0010;1;CHA0001;875
CONEC_AT_225_222-252;CUE0011;1;CHA0001;930
CONEC_AT_250_240-270;CUE0012;1;CHA0001;980
CONEC_AT_250_248-282;CUE0013;1;CHA0001;1030
CONEC_AT_250_262-292;CUE0014;1;CHA0001;1050
CONEC_AT_300_270-310;CUE0015;1;CHA0001;1125
CONEC_AT_300_288-318;CUE0016;1;CHA0001;1140
CONEC_AT_300_305-326;CUE0017;1;CHA0001;1160
CONEC_AT_300_310-338;CUE0018;1;CHA0001;1210
CONEC_AT_350_324-350;CUE0019;1;CHA0001;1250
CONEC_AT_350_330-360;CUE0020;1;CHA0003;1260
CONEC_AT_350_350-386;CUE0021;1;CHA0003;1360
CONEC_AT_350_360-392;CUE0022;1;CHA0003;1380
CONEC_AT_400_389-410;CUE0023;1;CHA0003;1425
CONEC_AT_400_399-430;CUE0024;1;CHA0003;1490
CONEC_AT_450_408-435;CUE0025;1;CHA0003;1515
CONEC_AT_450_425-460;CUE0026;1;CHA0003;1590
CONEC_AT_450_435-470;CUE0027;1;CHA0003;1600
CONEC_AT_500_465-500;CUE0028;1;CHA0003;1705
CONEC_AT_500_498-538;CUE0029;1;CHA0003;1920
CONEC_AT_600_505-540;CUE0030;1;CHA0003;1930
CONEC_AT_600_599-627;CUE0031;1;CHA0003;2150
CONEC_AT_600_610-638;CUE0032;1;CHA0003;2220
CONEC_AT_600_620-650;CUE0033;1;CHA0003;2350
