ID_PRODUCTO;ID_COMPONENTE;LONGITUD
ABT_350_324-350;JUN0001;300
ABT_350_325-360;JUN0001;300
ABT_350_330-360;JUN0001;300
ABT_350_350-386;JUN0001;300
ABT_350_350-392;JUN0001;300
ABT_350_360-386;JUN0001;300
ABT_350_360-392;JUN0001;300
ABT_400_389-410;JUN0001;300
ABT_400_399-430;JUN0001;300
ABT_400_408-435;JUN0001;300
ABT_450_425-460;JUN0001;300
ABT_450_430-460;JUN0001;300
ABT_450_435-470;JUN0001;300
ABT_500_465-500;JUN0001;300
ABT_500_498-538;JUN0001;300
ABT_500_505-540;JUN0001;300
ABT_500_599-627;JUN0001;300
ABT_500_610-638;JUN0001;300
ABT_500_620-650;JUN0001;300
CONEC_AT_350_324-350;JUN0001;600
CONEC_AT_350_325-360;JUN0001;600
CONEC_AT_350_330-360;JUN0001;600
CONEC_AT_350_350-386;JUN0001;600
CONEC_AT_350_350-392;JUN0001;600
CONEC_AT_350_360-392;JUN0001;600
CONEC_AT_400_389-410;JUN0001;600
CONEC_AT_400_399-430;JUN0001;600
CONEC_AT_450_408-435;JUN0001;600
CONEC_AT_450_425-460;JUN0001;600
CONEC_AT_450_435-470;JUN0001;600
CONEC_AT_500_465-500;JUN0001;600
CONEC_AT_500_498-538;JUN0001;600
CONEC_AT_600_505-540;JUN0001;600
CONEC_AT_600_599-627;JUN0001;600
CONEC_AT_600_610-638;JUN0001;600
CONEC_AT_600_620-650;JUN0001;600
CONEC_AT_800_819-854;JUN0001;600
CONEC_AT_800_915-935;JUN0001;600
ABT_350_324-350;JUN0002;300
ABT_350_325-360;JUN0002;300
ABT_350_330-360;JUN0002;300
ABT_350_350-386;JUN0002;300
ABT_350_350-392;JUN0002;300
ABT_350_360-386;JUN0002;300
ABT_350_360-392;JUN0002;300
ABT_400_389-410;JUN0002;300
ABT_400_399-430;JUN0002;300
ABT_400_408-435;JUN0002;300
ABT_450_425-460;JUN0002;300
ABT_450_430-460;JUN0002;300
ABT_450_435-470;JUN0002;300
ABT_500_465-500;JUN0002;300
ABT_500_498-538;JUN0002;300
ABT_500_505-540;JUN0002;300
ABT_500_599-627;JUN0002;300
ABT_500_610-638;JUN0002;300
ABT_500_620-650;JUN0002;300
CONEC_AT_350_324-350;JUN0002;600
CONEC_AT_350_325-360;JUN0002;600
CONEC_AT_350_330-360;JUN0002;600
CONEC_AT_350_350-386;JUN0002;600
CONEC_AT_350_350-392;JUN0002;600
CONEC_AT_350_360-392;JUN0002;600
CONEC_AT_400_389-410;JUN0002;600
CONEC_AT_400_399-430;JUN0002;600
CONEC_AT_450_408-435;JUN0002;600
CONEC_AT_450_425-460;JUN0002;600
CONEC_AT_450_435-470;JUN0002;600
CONEC_AT_500_465-500;JUN0002;600
CONEC_AT_500_498-538;JUN0002;600
CONEC_AT_600_505-540;JUN0002;600
CONEC_AT_600_599-627;JUN0002;600
CONEC_AT_600_610-638;JUN0002;600
CONEC_AT_600_620-650;JUN0002;600
CONEC_AT_800_819-854;JUN0002;600
CONEC_AT_800_915-935;JUN0002;600
