CATEGORY_ID;PRODUCT_ID;PRODUCT_DESCRIPTION_NAME;PRODUCT_DESCRIPTION_DN;PRODUCT_DESCRIPTION_INSIDE_DIAMETER;PRODUCT_DESCRIPTION_OUTSIDE_DIAMETER;QUANTITY;PRICE
AB_PVC;AB_PVC_60_63;ADAPTADOR DE BRIDA P/PVC ;60;63;;100;100
AB_PVC;AB_PVC_65_75;ADAPTADOR DE BRIDA P/PVC ;65;75;;100;100
AB_PVC;AB_PVC_80_75;ADAPTADOR DE BRIDA P/PVC ;80;75;;100;100
AB_PVC;AB_PVC_80_90;ADAPTADOR DE BRIDA P/PVC ;80;90;;100;100
AB_PVC;AB_PVC_100_110;ADAPTADOR DE BRIDA P/PVC ;100;110;;100;100
AB_PVC;AB_PVC_125_125;ADAPTADOR DE BRIDA P/PVC ;125;125;;100;100
AB_PVC;AB_PVC_150_140;ADAPTADOR DE BRIDA P/PVC ;150;140;;100;100
AB_PVC;AB_PVC_150_160;ADAPTADOR DE BRIDA P/PVC ;150;160;;100;100
AB_PVC;AB_PVC_200_200;ADAPTADOR DE BRIDA P/PVC ;200;200;;100;100
AB_PVC;AB_PVC_50-60_50;ADAPTADOR DE BRIDA P/PVC ;50-60;50;;100;100
AB_PVC;AB_PVC_50-60_63;ADAPTADOR DE BRIDA P/PVC ;50-60;63;;100;100
ABT;ABT_50_45-65;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;50;45;65;100;100
ABT;ABT_50_52-77;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;50;52;77;100;100
ABT;ABT_65_63-90;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;65;63;90;100;100
ABT;ABT_65_63-93;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;65;63;93;100;100
ABT;ABT_80_84-106;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;80;84;106;100;100
ABT;ABT_100_105-133;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;100;105;133;100;100
ABT;ABT_100_120-136;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;100;120;136;100;100
ABT;ABT_100_120-146;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;100;120;146;100;100
ABT;ABT_100_85-116;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;100;85;116;100;100
ABT;ABT_100_94-115;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;100;94;115;100;100
ABT;ABT_100_95-133;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;100;95;133;100;100
ABT;ABT_125_130-160;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;125;130;160;100;100
ABT;ABT_150_155-187;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;150;155;187;100;100
ABT;ABT_175_184-210;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;175;184;210;100;100
ABT;ABT_200_198-226;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;200;198;226;100;100
ABT;ABT_200_218-235;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;200;218;235;100;100
ABT;ABT_225_223-252;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;225;223;252;100;100
ABT;ABT_225_222-252;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;225;222;252;100;100
ABT;ABT_250_240-270;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;250;240;270;100;100
ABT;ABT_250_248-282;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;250;248;282;100;100
ABT;ABT_250_268-292;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;250;268;292;100;100
ABT;ABT_250_270-310;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;250;270;310;100;100
ABT;ABT_300_288-318;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;300;288;318;100;100
ABT;ABT_300_305-326;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;300;305;326;100;100
ABT;ABT_300_310-338;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;300;310;338;100;100
ABT;ABT_350_330-360;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;350;330;360;100;100
ABT;ABT_350_324-350;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;350;324;350;100;100
ABT;ABT_350_325-360;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;350;325;360;100;100
ABT;ABT_350_360-386;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;350;360;386;100;100
ABT;ABT_350_360-392;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;350;360;392;100;100
ABT;ABT_350_350-392;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;350;350;392;100;100
ABT;ABT_350_350-386;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;350;350;386;100;100
ABT;ABT_400_389-410;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;400;389;410;100;100
ABT;ABT_400_399-430;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;400;399;430;100;100
ABT;ABT_400_408-435;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;400;408;435;100;100
ABT;ABT_450_425-460;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;450;425;460;100;100
ABT;ABT_450_435-470;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;450;435;470;100;100
ABT;ABT_500_465-500;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;500;465;500;100;100
B_SLIP_ON;B_SLIP_ON_80_75;BRIDA SLIP-ON P/PEAD ;80;75;;100;100
B_SLIP_ON;B_SLIP_ON_80_90;BRIDA SLIP-ON P/PEAD ;80;90;;100;100
B_SLIP_ON;B_SLIP_ON_100_110;BRIDA SLIP-ON P/PEAD ;100;110;;100;100
B_SLIP_ON;B_SLIP_ON_125_125;BRIDA SLIP-ON P/PEAD ;125;125;;100;100
B_SLIP_ON;B_SLIP_ON_150_140;BRIDA SLIP-ON P/PEAD ;150;140;;100;100
B_SLIP_ON;B_SLIP_ON_150_160;BRIDA SLIP-ON P/PEAD ;150;160;;100;100
B_SLIP_ON;B_SLIP_ON_175_160-175;BRIDA SLIP-ON P/PEAD ;175;160;175;100;100
B_SLIP_ON;B_SLIP_ON_200_200;BRIDA SLIP-ON P/PEAD ;200;200;;100;100
B_SLIP_ON;B_SLIP_ON_225_200;BRIDA SLIP-ON P/PEAD ;225;200;;100;100
B_SLIP_ON;B_SLIP_ON_250_250;BRIDA SLIP-ON P/PEAD ;250;250;;100;100
B_SLIP_ON;B_SLIP_ON_300_300;BRIDA SLIP-ON P/PEAD ;300;300;;100;100
B_SLIP_ON;B_SLIP_ON_350_355;BRIDA SLIP-ON P/PEAD ;350;355;;100;100
B_SLIP_ON;B_SLIP_ON_400_400;BRIDA SLIP-ON P/PEAD ;400;400;;100;100
B_SLIP_ON;B_SLIP_ON_450_450;BRIDA SLIP-ON P/PEAD ;450;450;;100;100
B_SLIP_ON;B_SLIP_ON_500_500;BRIDA SLIP-ON P/PEAD ;500;500;;100;100
B_SLIP_ON;B_SLIP_ON_50-60-65_50;BRIDA SLIP-ON P/PEAD ;50-60-65;50;;100;100
B_SLIP_ON;B_SLIP_ON_50-60-65_63;BRIDA SLIP-ON P/PEAD ;50-60-65;63;;100;100
B_SLIP_ON;B_SLIP_ON_60-65_75;BRIDA SLIP-ON P/PEAD ;60-65;75;;100;100
ABT;ABT_500_498-538;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;500;498;538;100;100
ABT;ABT_500_505-540;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;500;505;540;100;100
ABT;ABT_500_599-627;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;500;599;627;100;100
ABT;ABT_500_610-638;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;500;610;638;100;100
ABT;ABT_500_620-650;ADAPTADOR DE BRIDA AMPLIA TOLERANCIA;500;620;650;100;100
CONEC_AT;CONEC_AT_40_40-63;CONEXIÓN AMPLIA TOLERANCIA;40;40;63;100;100
CONEC_AT;CONEC_AT_40_45-65;CONEXIÓN AMPLIA TOLERANCIA;40;45;65;100;100
CONEC_AT;CONEC_AT_50_52-75;CONEXIÓN AMPLIA TOLERANCIA;50;52;75;100;100
CONEC_AT;CONEC_AT_50_52-77;CONEXIÓN AMPLIA TOLERANCIA;50;52;77;100;100
CONEC_AT;CONEC_AT_65_63-90;CONEXIÓN AMPLIA TOLERANCIA;65;63;90;100;100
CONEC_AT;CONEC_AT_65_63-93;CONEXIÓN AMPLIA TOLERANCIA;65;63;93;100;100
CONEC_AT;CONEC_AT_80_85-116;CONEXIÓN AMPLIA TOLERANCIA;80;85;116;100;100
CONEC_AT;CONEC_AT_80_84-106;CONEXIÓN AMPLIA TOLERANCIA;80;84;106;100;100
CONEC_AT;CONEC_AT_80_75-106;CONEXIÓN AMPLIA TOLERANCIA;80;75;106;100;100
CONEC_AT;CONEC_AT_100_105-133;CONEXIÓN AMPLIA TOLERANCIA;100;105;133;100;100
CONEC_AT;CONEC_AT_100_95-131;CONEXIÓN AMPLIA TOLERANCIA;100;95;131;100;100
CONEC_AT;CONEC_AT_100_120-136;CONEXIÓN AMPLIA TOLERANCIA;100;120;136;100;100
CONEC_AT;CONEC_AT_100_120-146;CONEXIÓN AMPLIA TOLERANCIA;100;120;146;100;100
CONEC_AT;CONEC_AT_100_94-115;CONEXIÓN AMPLIA TOLERANCIA;100;94;115;100;100
CONEC_AT;CONEC_AT_125_130-160;CONEXIÓN AMPLIA TOLERANCIA;125;130;160;100;100
CONEC_AT;CONEC_AT_150_155-187;CONEXIÓN AMPLIA TOLERANCIA;150;155;187;100;100
CONEC_AT;CONEC_AT_150_170-185;CONEXIÓN AMPLIA TOLERANCIA;150;170;185;100;100
CONEC_AT;CONEC_AT_175_184-210;CONEXIÓN AMPLIA TOLERANCIA;175;184;210;100;100
CONEC_AT;CONEC_AT_200_198-226;CONEXIÓN AMPLIA TOLERANCIA;200;198;226;100;100
CONEC_AT;CONEC_AT_200_218-235;CONEXIÓN AMPLIA TOLERANCIA;200;218;235;100;100
CONEC_AT;CONEC_AT_225_222-252;CONEXIÓN AMPLIA TOLERANCIA;225;222;252;100;100
CONEC_AT;CONEC_AT_250_240-270;CONEXIÓN AMPLIA TOLERANCIA;250;240;270;100;100
CONEC_AT;CONEC_AT_250_248-282;CONEXIÓN AMPLIA TOLERANCIA;250;248;282;100;100
CONEC_AT;CONEC_AT_250_262-292;CONEXIÓN AMPLIA TOLERANCIA;250;262;292;100;100
CONEC_AT;CONEC_AT_300_270-310;CONEXIÓN AMPLIA TOLERANCIA;300;270;310;100;100
CONEC_AT;CONEC_AT_300_288-318;CONEXIÓN AMPLIA TOLERANCIA;300;288;318;100;100
CONEC_AT;CONEC_AT_300_305-326;CONEXIÓN AMPLIA TOLERANCIA;300;305;326;100;100
CONEC_AT;CONEC_AT_300_310-338;CONEXIÓN AMPLIA TOLERANCIA;300;310;338;100;100
CONEC_AT;CONEC_AT_350_324-350;CONEXIÓN AMPLIA TOLERANCIA;350;324;350;100;100
CONEC_AT;CONEC_AT_350_325-360;CONEXIÓN AMPLIA TOLERANCIA;350;325;360;100;100
CONEC_AT;CONEC_AT_350_330-360;CONEXIÓN AMPLIA TOLERANCIA;350;330;360;100;100
CONEC_AT;CONEC_AT_350_350-386;CONEXIÓN AMPLIA TOLERANCIA;350;350;386;100;100
CONEC_AT;CONEC_AT_350_360-392;CONEXIÓN AMPLIA TOLERANCIA;350;360;392;100;100
CONEC_AT;CONEC_AT_350_350-392;CONEXIÓN AMPLIA TOLERANCIA;350;350;392;100;100
CONEC_AT;CONEC_AT_400_389-410;CONEXIÓN AMPLIA TOLERANCIA;400;389;410;100;100
CONEC_AT;CONEC_AT_400_399-430;CONEXIÓN AMPLIA TOLERANCIA;400;399;430;100;100
CONEC_AT;CONEC_AT_450_408-435;CONEXIÓN AMPLIA TOLERANCIA;450;408;435;100;100
CONEC_AT;CONEC_AT_450_425-460;CONEXIÓN AMPLIA TOLERANCIA;450;425;460;100;100
CONEC_AT;CONEC_AT_450_435-470;CONEXIÓN AMPLIA TOLERANCIA;450;435;470;100;100
CONEC_AT;CONEC_AT_500_465-500;CONEXIÓN AMPLIA TOLERANCIA;500;465;500;100;100
CONEC_AT;CONEC_AT_500_498-538;CONEXIÓN AMPLIA TOLERANCIA;500;498;538;100;100
CONEC_AT;CONEC_AT_600_505-540;CONEXIÓN AMPLIA TOLERANCIA;600;505;540;100;100
CONEC_AT;CONEC_AT_600_599-627;CONEXIÓN AMPLIA TOLERANCIA;600;599;627;100;100
CONEC_AT;CONEC_AT_600_610-638;CONEXIÓN AMPLIA TOLERANCIA;600;610;638;100;100
CONEC_AT;CONEC_AT_600_620-650;CONEXIÓN AMPLIA TOLERANCIA;600;620;650;100;100
CONEC_AT;CONEC_AT_800_819-854;CONEXIÓN AMPLIA TOLERANCIA;800;819;854;100;100
CONEC_AT;CONEC_AT_800_915-935;CONEXIÓN AMPLIA TOLERANCIA;800;915;935;100;100
JT_DESA_AUTO;JT_DESA_AUTO_50_50;JUNTA DE DESARME AUTOPORTANTE DN;50;50;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_65_60-65;JUNTA DE DESARME AUTOPORTANTE DN;65;60;65;100;100
JT_DESA_AUTO;JT_DESA_AUTO_80_80;JUNTA DE DESARME AUTOPORTANTE DN;80;80;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_100_100;JUNTA DE DESARME AUTOPORTANTE DN;100;100;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_125_125;JUNTA DE DESARME AUTOPORTANTE DN;125;125;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_150_150;JUNTA DE DESARME AUTOPORTANTE DN;150;150;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_175_175;JUNTA DE DESARME AUTOPORTANTE DN;175;175;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_200_200;JUNTA DE DESARME AUTOPORTANTE DN;200;200;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_200_225;JUNTA DE DESARME AUTOPORTANTE DN;200;225;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_225_250;JUNTA DE DESARME AUTOPORTANTE DN;225;250;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_300_300;JUNTA DE DESARME AUTOPORTANTE DN;300;300;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_350_350;JUNTA DE DESARME AUTOPORTANTE DN;350;350;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_400_400;JUNTA DE DESARME AUTOPORTANTE DN;400;400;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_450_450;JUNTA DE DESARME AUTOPORTANTE DN;450;450;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_500_500;JUNTA DE DESARME AUTOPORTANTE DN;500;500;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_600_600;JUNTA DE DESARME AUTOPORTANTE DN;600;600;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_700_700;JUNTA DE DESARME AUTOPORTANTE DN;700;700;;100;100
JT_DESA_AUTO;JT_DESA_AUTO_800_800;JUNTA DE DESARME AUTOPORTANTE DN;800;800;;100;100
