ID_COMPONENTE;ID_DESCRIPCION;DIAMETRO;ANCHO;LARGO;ALTO;ESPESOR;PERFIL;TOLERANCIA_MINIMA;TOLERANCIA_MAXIMA
CHA0001;2;;2;15000;;3,2;1;-1;-1
CHA0002;2;;2;15000;;3,2;2;-1;-1
CHA0003;2;;2;15000;;4,75;2;-1;-1
ARO0001;6;;;;;;-1;45;63
ARO0002;6;;;;;;-1;45;65
ARO0003;6;;;;;;-1;52;75
ARO0004;6;;;;;;-1;52;77
ARO0005;6;;;;;;-1;63;90
ARO0006;6;;;;;;-1;63;93
ARO0007;6;;;;;;-1;75;106
ARO0008;6;;;;;;-1;84;106
ARO0009;6;;;;;;-1;85;116
ARO0010;6;;;;;;-1;94;115
ARO0011;6;;;;;;-1;95;131
ARO0012;6;;;;;;-1;95;133
ARO0013;6;;;;;;-1;105;133
ARO0014;6;;;;;;-1;120;136
ARO0015;6;;;;;;-1;120;146
ARO0016;6;;;;;;-1;130;160
ARO0017;6;;;;;;-1;155;187
ARO0018;6;;;;;;-1;170;185
ARO0019;6;;;;;;-1;184;210
ARO0020;6;;;;;;-1;198;226
ARO0021;6;;;;;;-1;218;235
ARO0022;6;;;;;;-1;222;252
ARO0023;6;;;;;;-1;223;252
ARO0024;6;;;;;;-1;240;270
ARO0025;6;;;;;;-1;248;282
ARO0026;6;;;;;;-1;262;292
ARO0027;6;;;;;;-1;270;310
ARO0028;6;;;;;;-1;288;318
ARO0029;6;;;;;;-1;305;326
ARO0030;6;;;;;;-1;310;338
CUE0001;3;90;;;73;;-1;45;63
CUE0002;3;90;;;88,3;;-1;52;75
CUE0003;3;90;;;101,6;;-1;63;90
CUE0004;3;110;;;114,3;;-1;75;106
CUE0005;3;110;;;127,3;;-1;85;116
CUE0006;3;110;;;141,3;;-1;95;131
CUE0007;3;130;;;168,3;;-1;130;160
CUE0008;3;140;;;219,1;;-1;184;210
CUE0009;4;200;;;757;;-1;198;226
CUE0010;4;200;;;775;;-1;218;235
CUE0011;4;225;;;830;;-1;222;252
CUE0012;4;250;;;890;;-1;240;270
CUE0013;4;250;;;840;;-1;248;282
CUE0014;4;250;;;960;;-1;262;292
CUE0015;4;250;;;1025;;-1;270;310
CUE0016;4;300;;;1050;;-1;288;318
CUE0017;4;300;;;1070;;-1;305;326
CUE0018;4;300;;;1110;;-1;310;338
CUE0019;4;350;;;1155;;-1;324;350
CUE0020;4;350;;;1165;;-1;330;360
CUE0021;4;350;;;1260;;-1;350;386
CUE0022;4;350;;;1280;;-1;360;392
CUE0023;4;400;;;1320;;-1;389;410
CUE0024;4;400;;;1390;;-1;399;430
CUE0025;4;400;;;1400;;-1;408;435
CUE0026;4;450;;;1480;;-1;425;460
CUE0027;4;450;;;1500;;-1;435;470
CUE0028;4;500;;;1605;;-1;465;500
CUE0029;4;500;;;1718;;-1;498;538
CUE0030;4;500;;;1790;;-1;505;540
CUE0031;4;500;;;2000;;-1;599;627
CUE0032;4;500;;;2050;;-1;610;638
CUE0033;4;500;;;2100;;-1;620;650
BRI0001;1;100;;;;;-1;105;133
BRI0002;1;100;;;;;-1;120;136
BRI0003;1;100;;;;;-1;120;146
BRI0004;1;125;;;;;-1;130;160
BRI0005;1;150;;;;;-1;155;187
BRI0006;1;150;;;;;-1;170;185
BRI0007;1;175;;;;;-1;184;210
BRI0008;1;200;;;;;-1;198;226
BRI0009;1;200;;;;;-1;218;235
BRI0010;1;225;;;;;-1;222;252
BRI0011;1;225;;;;;-1;223;252
BRI0012;1;250;;;;;-1;240;270
BRI0013;1;250;;;;;-1;248;282
BRI0014;1;250;;;;;-1;262;292
BRI0015;1;250;;;;;-1;270;310
BRI0016;1;300;;;;;-1;288;318
BRI0017;1;300;;;;;-1;305;326
BRI0018;1;300;;;;;-1;310;338
BRI0019;1;350;;;;;-1;324;350
BRI0020;1;350;;;;;-1;325;360
BRI0021;1;350;;;;;-1;330;360
BRI0022;1;350;;;;;-1;350;386
BRI0023;1;350;;;;;-1;350;392
BRI0024;1;350;;;;;-1;360;386
BRI0025;1;350;;;;;-1;360;392
BRI0026;1;400;;;;;-1;389;410
BRI0027;1;400;;;;;-1;399;430
BRI0028;1;400;;;;;-1;408;435
BRI0029;1;450;;;;;-1;425;460
BRI0030;1;450;;;;;-1;430;460
BRI0031;1;450;;;;;-1;435;470
BRI0032;1;40;;;;;-1;45;63
BRI0033;1;50;;;;;-1;45;65
BRI0034;1;500;;;;;-1;465;500
BRI0035;1;500;;;;;-1;498;538
BRI0036;1;500;;;;;-1;505;540
BRI0037;1;50;;;;;-1;52;75
BRI0038;1;50;;;;;-1;52;77
BRI0039;1;500;;;;;-1;599;627
BRI0040;1;500;;;;;-1;610;638
BRI0041;1;500;;;;;-1;620;650
BRI0042;1;65;;;;;-1;63;90
BRI0043;1;65;;;;;-1;63;93
BRI0044;1;80;;;;;-1;75;106
BRI0045;1;800;;;;;-1;819;854
BRI0046;1;80;;;;;-1;84;106
BRI0047;1;80;;;;;-1;85;116
BRI0048;1;90;;;;;-1;915;935
BRI0049;1;100;;;;;-1;94;115
BRI0050;1;100;;;;;-1;95;131
BRI0051;1;100;;;;;-1;95;133
