ID_COMPONENTE;ID_DESCRIPCION;DIAMETRO;LONGITUD;STOCK_PESO_RECIBIDO;STOCK_PESO_PINTURA;STOCK_PESO_PROCESO
ARA0001;7;19;2;1000;1000;1000
BUL0001;8;19;130;1000;1000;1000
BUL0002;8;19;140;1000;1000;1000
BUL0003;8;19;160;1000;1000;1000
BUL0004;8;19;165;1000;1000;1000
BUL0005;8;19;175;1000;1000;1000
BUL0006;8;19;190;1000;1000;1000
BUL0007;8;19;200;1000;1000;1000
BUL0008;8;19;205;1000;1000;1000
BUL0009;8;19;230;1000;1000;1000
BUL0010;8;19;250;1000;1000;1000
BUL0011;8;19;280;1000;1000;1000
BUL0012;8;19;300;1000;1000;1000
BUL0013;8;19;225;1000;1000;1000
TUE0001;9;19;12;1000;1000;1000
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
;;;;;;
;;;;0.0075;;
;;;;0.0025;;
;;;;0.0050;;
